scenario_id,event_id,track_id,event_type,object_type,observed_at_seconds,confidence,evidence_image
S01_BASIC_GOODS,evt-0001,1,A_TO_B,package,8.360,0.78,evidence/evt-0001_b251001c.jpg
S01_BASIC_GOODS,evt-0002,2,A_TO_B,package,10.680,0.79,evidence/evt-0002_1dafcc50.jpg
S01_BASIC_GOODS,evt-0003,4,B_TO_A,package,15.080,0.78,evidence/evt-0003_8d94e2ac.jpg
S02_OCCLUSION_REVERSAL,evt-0001,1,A_TO_B,package,12.440,0.78,evidence/evt-0001_5ec3af26.jpg
S02_OCCLUSION_REVERSAL,evt-0002,2,B_TO_A,package,18.440,0.78,evidence/evt-0002_3062ccb1.jpg
S02_OCCLUSION_REVERSAL,evt-0003,3,A_TO_B,package,20.200,0.79,evidence/evt-0003_1722c9ca.jpg
S03_DENSE_CROSSING,evt-0001,1,A_TO_B,package,13.280,0.78,evidence/evt-0001_858acd6e.jpg
S03_DENSE_CROSSING,evt-0002,2,A_TO_B,package,14.000,0.78,evidence/evt-0002_3689ddf3.jpg
S03_DENSE_CROSSING,evt-0003,3,B_TO_A,package,14.520,0.78,evidence/evt-0003_875c3783.jpg
S03_DENSE_CROSSING,evt-0004,4,B_TO_A,package,15.360,0.78,evidence/evt-0004_f854aae5.jpg
S03_DENSE_CROSSING,evt-0005,5,A_TO_B,package,19.040,0.79,evidence/evt-0005_98a54aa4.jpg
S04_DWELL_QUEUE,evt-0001,1,DWELL_THRESHOLD,package,11.240,0.78,evidence/evt-0001_ef26743a.jpg
S04_DWELL_QUEUE,evt-0002,2,DWELL_THRESHOLD,package,12.760,0.78,evidence/evt-0002_d4f7587b.jpg
S04_DWELL_QUEUE,evt-0003,3,DWELL_THRESHOLD,package,15.200,0.78,evidence/evt-0003_b63afb63.jpg
S04_DWELL_QUEUE,evt-0004,1,A_TO_B,package,18.160,0.78,evidence/evt-0004_3f5eccff.jpg
S04_DWELL_QUEUE,evt-0005,2,A_TO_B,package,21.280,0.78,evidence/evt-0005_c719f24c.jpg
S04_DWELL_QUEUE,evt-0006,3,A_TO_B,package,24.360,0.78,evidence/evt-0006_2bd3ab17.jpg
S04_DWELL_QUEUE,evt-0001,1,DWELL_THRESHOLD,package,11.240,0.78,evidence/evt-0001_c3228318.jpg
S04_DWELL_QUEUE,evt-0002,2,DWELL_THRESHOLD,package,12.760,0.78,evidence/evt-0002_894eee88.jpg
S04_DWELL_QUEUE,evt-0003,3,DWELL_THRESHOLD,package,15.200,0.78,evidence/evt-0003_6ea9063e.jpg
S04_DWELL_QUEUE,evt-0004,1,A_TO_B,package,18.160,0.78,evidence/evt-0004_1df5ea5d.jpg
S04_DWELL_QUEUE,evt-0005,2,A_TO_B,package,21.280,0.78,evidence/evt-0005_fb05aa74.jpg
S04_DWELL_QUEUE,evt-0006,3,A_TO_B,package,24.360,0.78,evidence/evt-0006_b689bc62.jpg
