scenario_id,event_id,track_id,event_type,object_type,observed_at_seconds,confidence,evidence_image
S01_BASIC_GOODS,evt-0001,1,A_TO_B,package,8.360,0.78,evidence/evt-0001_0b93da06.jpg
S01_BASIC_GOODS,evt-0002,2,A_TO_B,package,10.680,0.79,evidence/evt-0002_f242f94c.jpg
S01_BASIC_GOODS,evt-0003,4,B_TO_A,package,15.080,0.78,evidence/evt-0003_adcf9e6b.jpg
S02_OCCLUSION_REVERSAL,evt-0001,1,A_TO_B,package,12.440,0.78,evidence/evt-0001_3c8e3443.jpg
S02_OCCLUSION_REVERSAL,evt-0002,2,B_TO_A,package,18.440,0.78,evidence/evt-0002_7f1d378c.jpg
S02_OCCLUSION_REVERSAL,evt-0003,3,A_TO_B,package,20.200,0.79,evidence/evt-0003_02381584.jpg
S03_DENSE_CROSSING,evt-0001,1,A_TO_B,package,13.280,0.78,evidence/evt-0001_81c260d5.jpg
S03_DENSE_CROSSING,evt-0002,2,A_TO_B,package,14.000,0.78,evidence/evt-0002_f591fa08.jpg
S03_DENSE_CROSSING,evt-0003,3,B_TO_A,package,14.520,0.78,evidence/evt-0003_6d7b2586.jpg
S03_DENSE_CROSSING,evt-0004,4,B_TO_A,package,15.360,0.78,evidence/evt-0004_7b47ca5c.jpg
S03_DENSE_CROSSING,evt-0005,5,A_TO_B,package,19.040,0.79,evidence/evt-0005_8fb79180.jpg
S04_DWELL_QUEUE,evt-0004,1,A_TO_B,package,18.160,0.78,evidence/evt-0004_56f0e795.jpg
S04_DWELL_QUEUE,evt-0005,2,A_TO_B,package,21.280,0.78,evidence/evt-0005_1c1844f0.jpg
S04_DWELL_QUEUE,evt-0006,3,A_TO_B,package,24.360,0.78,evidence/evt-0006_6f9b3dd3.jpg
